Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link_Base,-5.4833E-09,-1.0558E-09,0.019775,0,0,0,0.13854,0.00019476,-1.9999E-11,5.7283E-11,0.00020184,9.884E-12,0.00020732,0,0,0,0,0,0,package://urdf_test/meshes/Link_Base.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://urdf_test/meshes/Link_Base.STL,,新_基座连杆-1,Axis_Base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,1.0104E-08,1.0232E-08,-1.9979E-05,0,0,0,0.043053,1.3084E-05,4.5931E-10,1.8513E-11,1.3061E-05,-1.8595E-11,1.8068E-05,0,0,0,0,0,0,package://urdf_test/meshes/Link_1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://urdf_test/meshes/Link_1.STL,,新_十字轴-1,Axis_1,Joint_1,Joint_1,revolute,0,0,0.083,0,0,0,Link_Base,-1,0,0,100,1,-0.314,0.314,,,,,,,,
Link_2,6.92775188338132E-10,6.45404889151772E-09,0.0549999980583439,0,0,0,0.0844359445158754,0.000106217782705313,2.26997887566645E-12,-1.46044594809386E-10,0.000119974233834078,-2.20808392711434E-12,6.41264109128055E-05,0,0,0,0,0,0,package://urdf_test/meshes/Link_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_test/meshes/Link_2.STL,,新_连杆-1,Axis_2,Joint_2,Joint_2,revolute,0,0,0,0,0,1.5708,Link_1,-1,0,0,100,1,-0.314,0.314,,,,,,,,
Link_3,1.0104009755725E-08,1.02316713291555E-08,-1.99789073555556E-05,0,0,0,0.0430534167618011,1.30843177909024E-05,4.59306464583884E-10,1.85131522404431E-11,1.30606430354559E-05,-1.85950234796418E-11,1.80677238231024E-05,0,0,0,0,0,0,package://urdf_test/meshes/Link_3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_test/meshes/Link_3.STL,,新_十字轴-2,Axis_3,Joint_3,Joint_3,revolute,0,0,0.11,0,0,0,Link_2,1,0,0,100,1,-0.314,0.314,,,,,,,,
Link_4,6.9277545953447E-10,6.45404872571012E-09,0.0549999980583439,0,0,0,0.0844359445158757,0.000106217782705313,2.2699788024265E-12,-1.46044595102847E-10,0.000119974233834078,-2.20808379860918E-12,6.41264109128056E-05,0,0,0,0,0,0,package://urdf_test/meshes/Link_4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_test/meshes/Link_4.STL,,新_连杆-2,Axis_4,Joint_4,Joint_4,revolute,0,0,0,0,0,-1.5708,Link_3,-1,0,0,100,1,-0.314,0.314,,,,,,,,
Link_5,1.01040097334203E-08,1.02316713359479E-08,-1.99789073555001E-05,0,0,0,0.043053416761801,1.30843177909023E-05,4.59306464587283E-10,1.85131522720398E-11,1.30606430354558E-05,-1.85950235146396E-11,1.80677238231024E-05,0,0,0,0,0,0,package://urdf_test/meshes/Link_5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_test/meshes/Link_5.STL,,新_十字轴-4,Axis_5,Joint_5,Joint_5,revolute,0,0,0.11,0,0,0,Link_4,1,0,0,100,1,-0.314,0.314,,,,,,,,
Link_6,6.92774966192583E-10,6.45404885077868E-09,0.0549999980583441,0,0,0,0.0844359445158756,0.000106217782705313,2.2699786749959E-12,-1.46044594617312E-10,0.000119974233834078,-2.20808397277327E-12,6.41264109128056E-05,0,0,0,0,0,0,package://urdf_test/meshes/Link_6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_test/meshes/Link_6.STL,,新_连杆-5,Axis_6,Joint_6,Joint_6,revolute,0,0,0,0,0,1.5708,Link_5,-1,0,0,100,1,-0.314,0.314,,,,,,,,
Link_7,1.01040097484981E-08,1.02316713754812E-08,-1.99789073555001E-05,0,0,0,0.0430534167618011,1.30843177909023E-05,4.59306464584384E-10,1.85131522407011E-11,1.30606430354559E-05,-1.85950234641434E-11,1.80677238231024E-05,0,0,0,0,0,0,package://urdf_test/meshes/Link_7.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_test/meshes/Link_7.STL,,新_十字轴-3,Axis_7,Joint_7,Joint_7,revolute,0,0,0.11,0,0,0,Link_6,1,0,0,100,1,-0.314,0.314,,,,,,,,
Link_8,-6.92775804053446E-10,-6.45404827468107E-09,0.0549999980583439,0,0,0,0.0844359445158755,0.000106217782705313,2.26997898891704E-12,1.46044594962054E-10,0.000119974233834078,2.20808423834578E-12,6.41264109128055E-05,0,0,0,0,0,0,package://urdf_test/meshes/Link_8.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_test/meshes/Link_8.STL,,新_连杆-6,Axis_8,Joint_8,Joint_8,revolute,0,0,0,0,0,-1.5708,Link_7,1,0,0,100,1,-0.314,0.314,,,,,,,,
Link_9,1.01040097447099E-08,1.02316713228416E-08,-1.99789073555001E-05,0,0,0,0.0430534167618012,1.30843177909024E-05,4.59306464583718E-10,1.85131522766916E-11,1.30606430354559E-05,-1.85950234800416E-11,1.80677238231025E-05,0,0,0,0,0,0,package://urdf_test/meshes/Link_9.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_test/meshes/Link_9.STL,,新_十字轴-5,Axis_9,Joint_9,Joint_9,revolute,0,0,0.11,0,0,0,Link_8,-1,0,0,100,1,-0.314,0.314,,,,,,,,
